station,lat,lon,starttime,endtime,nvals,rmse,si,bias,correlation,source,plotname
Wainwright_Offshore,70.64203,-160.07228,2009-08-24 03:17:00,2009-10-02 23:17:00,957,0.1635184563446931,0.24338553365974755,-0.02842745613777774,0.9168403744130016,USGS,USGS-Wainwright Offshore
Barter_Island,70.11687,-143.92597,2011-07-12 00:18:00,2011-09-26 09:18:00,1834,0.2374637109573741,0.9937216398845984,0.1822587665983739,0.6577583169716115,USGS,USGS-Barter Island
klondike-metocean,70.87,-165.24,2010-07-26 13:00:00,2010-09-19 03:00:00,7309,0.20549476143668852,0.15591411540234107,0.020876468162413318,0.9549951620465176,MetOcean,MetOcean-Klondike
klondikene-metocean,70.99,-164.99,2010-09-05 23:00:00,2010-09-26 13:00:00,495,0.17922092497922568,0.1262065324637115,0.04209614644387755,0.9820019770960067,MetOcean,MetOcean-Klondike-NE
hanna-se-metocean,71.65,-160.0,2012-09-11 06:00:00,2012-10-06 15:00:00,610,0.2619069240745232,0.17450734965806944,-0.03948308020927867,0.9542213685311045,MetOcean,MetOcean-Hanna-SE
burger-metocean,71.5,-164.1,2012-08-23 18:00:00,2012-10-07 01:00:00,1538,0.3916931847359049,0.33795636482781505,0.1633344466339007,0.8887758747925198,MetOcean,MetOcean-Burger
camden-bay-metocean,70.37,-146.0403,2013-08-06 16:00:00,2013-10-04 16:00:00,1367,0.20510389664913867,0.23076488425367497,0.00736866956395482,0.9178401361960393,MetOcean,MetOcean-Camden Bay
crackerjack-central-channel-metocean,71.76,-167.95,2013-08-02 11:00:00,2013-10-11 16:00:00,1902,0.34053984275812854,0.29429579253929605,-0.03315214412946932,0.8631518547385754,MetOcean,MetOcean-Crackerjack
46265,64.4723,-165.4743,2018-07-11 02:00:00,2018-10-18 17:30:00,15076,0.2941022795169881,0.36558061298702565,-0.20415277716962585,0.9572821472274102,NDBC,NDBC-46265
FIB_dinkum,70.4002,-147.8831,2019-08-07 18:41:04,2019-09-09 23:44:55,2172,0.13889463930610937,0.270697794044479,-0.01743860771753276,0.9123565563737357,FIB,FIB-Dinkum
FIB_STLD2,70.3191,-147.7601,2019-08-06 19:04:55,2019-09-11 03:23:25,2242,0.14553956133338455,0.39374412823478444,-0.026788848446159527,0.8225438626634767,FIB,FIB-STLD2
wainwright-5-mi-2023,70.679,-160.211,2023-08-05 00:58:01,2023-10-14 23:33:48,3403,0.20409981273087932,0.22876291540623636,0.07565777780052987,0.9210011306345101,BYB,BYB-Wainwright 5mi
point-barrow-2-mi-2023,71.42,-156.33,2023-08-18 00:10:00,2023-10-24 23:55:00,3251,0.2997367077048754,0.27422786471264227,0.023988110353967963,0.8288861332332741,BYB,BYB-Point Barrow 2mi
elson-lagoon-5-mi-2023,71.303,-155.69,2023-08-05 00:20:00,2023-10-07 23:35:00,3068,0.17669367909616768,0.20861408144012158,0.07231298897789387,0.9329473122863519,BYB,BYB-Elson Lagoon 5mi
cape-thompson-2023,68.149,-166.027,2023-07-29 00:29:01,2023-10-15 23:45:00,3767,0.2505957516486929,0.45638198849399114,-0.15454335831546773,0.8136795538918666,BYB,BYB-Cape Thompson
north-buoy-2023,71.41,-156.04,2023-08-23 01:05:00,2023-09-12 23:35:00,1006,0.2548141722577812,0.21540166317218976,0.04443649446276974,0.8315294532727986,BYB,BYB-North Buoy
wainwright-10-mi-2023,70.727,-160.348,2023-08-05 00:59:01,2023-10-20 16:53:54,3634,0.3647876839779174,0.3924596534328127,0.14785252779968244,0.795696853855333,BYB,BYB-Wainwright 10mi
wainwright-2-mi-2023,70.654,-160.103,2023-08-05 01:28:49,2023-10-06 23:54:18,3022,0.17850073016109935,0.22245420699692456,0.03647299997661383,0.9350993436446228,BYB,BYB-Wainwright 2mi
elson-lagoon-10-mi-2023,71.39,-155.83,2023-08-18 00:05:00,2023-10-07 23:55:00,2439,0.21267793144280608,0.2026026250108402,0.052040076254820815,0.9134102356768534,BYB,BYB-Elson Lagoon 10mi
dease-inlet-2023,71.102,-155.384,2023-09-01 00:05:00,2023-10-05 23:35:00,1666,0.2000771149741089,0.7175761507510235,-0.1580272117924556,0.6996486687410729,BYB,BYB-Dease Inlet
point-hope-2023,68.42,-166.69,2023-08-04 00:05:00,2023-10-22 21:00:00,3642,0.255410002672977,0.2828577687504317,-0.05377816475465493,0.8610356016431671,BYB,BYB-Point Hope
elson-lagoon-2-mi-2023,71.225,-155.836,2023-08-05 00:15:00,2023-10-05 23:40:00,2970,0.12070480531299732,0.3342501112133012,-0.024528659744294808,0.6972734946948571,BYB,BYB-Elson Lagoon 2mi
